x,w_analytical,M_analytical
1.761761761761761746e-01,-3.937741148363760324e-03,-3.393428463498533461e+02
1.771771771771771808e-01,-3.979885922745131886e-03,-3.385186988790592295e+02
1.781781781781781870e-01,-4.022224601452152430e-03,-3.376955534112690884e+02
1.791791791791791655e-01,-4.064756712985229982e-03,-3.368734099464829796e+02
1.801801801801801717e-01,-4.107481786418728381e-03,-3.360522684847009032e+02
1.811811811811811779e-01,-4.150399351400955138e-03,-3.352321290259228590e+02
1.821821821821821841e-01,-4.193508938154170973e-03,-3.344129915701487903e+02
1.831831831831831903e-01,-4.236810077474584615e-03,-3.335948561173786402e+02
1.841841841841841965e-01,-4.280302300732354535e-03,-3.327777226676125224e+02
1.851851851851851749e-01,-4.323985139871588945e-03,-3.319615912208504938e+02
1.861861861861861811e-01,-4.367858127410346666e-03,-3.311464617770923837e+02
1.871871871871871873e-01,-4.411920796440633660e-03,-3.303323343363383628e+02
1.881881881881881935e-01,-4.456172680628409100e-03,-3.295192088985883174e+02
1.891891891891891997e-01,-4.500613314213577562e-03,-3.287070854638422475e+02
1.901901901901901781e-01,-4.545242232009996837e-03,-3.278959640321002098e+02
1.911911911911911843e-01,-4.590058969405470986e-03,-3.270858446033620908e+02
1.921921921921921905e-01,-4.635063062361758149e-03,-3.262767271776281177e+02
1.931931931931931967e-01,-4.680254047414561004e-03,-3.254686117548980064e+02
1.941941941941942029e-01,-4.725631461673535441e-03,-3.246614983351719843e+02
1.951951951951951814e-01,-4.771194842822285356e-03,-3.238553869184499945e+02
1.961961961961961876e-01,-4.816943729118363521e-03,-3.230502775047319801e+02
1.971971971971971938e-01,-4.862877659393275050e-03,-3.222461700940179981e+02
1.981981981981981999e-01,-4.908996173052473065e-03,-3.214430646863079346e+02
1.991991991991992061e-01,-4.955298810075358697e-03,-3.206409612816019035e+02
2.002002002002001846e-01,-5.001785111015283683e-03,-3.198398598798999046e+02
2.012012012012011908e-01,-5.048454616999551239e-03,-3.190397604812018812e+02
2.022022022022021970e-01,-5.095306869729412588e-03,-3.182406630855078902e+02
2.032032032032032032e-01,-5.142341411480070429e-03,-3.174425676928179314e+02
2.042042042042042094e-01,-5.189557785100669396e-03,-3.166454743031320049e+02
2.052052052052052156e-01,-5.236955534014316876e-03,-3.158493829164499971e+02
2.062062062062061940e-01,-5.284534202218055254e-03,-3.150542935327720784e+02
2.072072072072072002e-01,-5.332293334282890533e-03,-3.142602061520980214e+02
2.082082082082082064e-01,-5.380232475353768917e-03,-3.134671207744280537e+02
2.092092092092092126e-01,-5.428351171149588955e-03,-3.126750373997621182e+02
2.102102102102102188e-01,-5.476648967963198070e-03,-3.118839560281001582e+02
2.112112112112111972e-01,-5.525125412661394293e-03,-3.110938766594422304e+02
2.122122122122122034e-01,-5.573780052684924533e-03,-3.103047992937882782e+02
2.132132132132132096e-01,-5.622612436048488038e-03,-3.095167239311383582e+02
2.142142142142142158e-01,-5.671622111340729466e-03,-3.087296505714924137e+02
2.152152152152152220e-01,-5.720808627724243214e-03,-3.079435792148505016e+02
2.162162162162162282e-01,-5.770171534935578626e-03,-3.071585098612125080e+02
2.172172172172172067e-01,-5.819710383285226114e-03,-3.063744425105786036e+02
2.182182182182182129e-01,-5.869424723657635373e-03,-3.055913771629487314e+02
2.192192192192192191e-01,-5.919314107511197166e-03,-3.048093138183228348e+02
2.202202202202202252e-01,-5.969378086878258938e-03,-3.040282524767009704e+02
2.212212212212212314e-01,-6.019616214365111802e-03,-3.032481931380830247e+02
2.222222222222222099e-01,-6.070028043151997482e-03,-3.024691358024691681e+02
2.232232232232232161e-01,-6.120613126993112649e-03,-3.016910804698592301e+02
2.242242242242242223e-01,-6.171371020216597642e-03,-3.009140271402533244e+02
2.252252252252252285e-01,-6.222301277724546012e-03,-3.001379758136514511e+02
2.262262262262262347e-01,-6.273403454992994982e-03,-2.993629264900536100e+02
2.272272272272272131e-01,-6.324677108071937587e-03,-2.985888791694597444e+02
2.282282282282282193e-01,-6.376121793585320073e-03,-2.978158338518699111e+02
2.292292292292292255e-01,-6.427737068731025419e-03,-2.970437905372840532e+02
2.302302302302302317e-01,-6.479522491280898487e-03,-2.962727492257021709e+02
2.312312312312312379e-01,-6.531477619580725209e-03,-2.955027099171242639e+02
2.322322322322322163e-01,-6.583602012550243861e-03,-2.947336726115505030e+02
2.332332332332332225e-01,-6.635895229683148530e-03,-2.939656373089806038e+02
2.342342342342342287e-01,-6.688356831047073507e-03,-2.931986040094147938e+02
2.352352352352352349e-01,-6.740986377283608028e-03,-2.924325727128530161e+02
2.362362362362362411e-01,-6.793783429608287600e-03,-2.916675434192952139e+02
2.372372372372372473e-01,-6.846747549810602677e-03,-2.909035161287413302e+02
2.382382382382382258e-01,-6.899878300253986518e-03,-2.901404908411915358e+02
2.392392392392392320e-01,-6.953175243875827326e-03,-2.893784675566457736e+02
2.402402402402402382e-01,-7.006637944187461310e-03,-2.886174462751039300e+02
2.412412412412412444e-01,-7.060265965274172689e-03,-2.878574269965661188e+02
2.422422422422422505e-01,-7.114058871795194555e-03,-2.870984097210323398e+02
2.432432432432432290e-01,-7.168016228983714946e-03,-2.863403944485025931e+02
2.442442442442442352e-01,-7.222137602646866439e-03,-2.855833811789767651e+02
2.452452452452452414e-01,-7.276422559165735687e-03,-2.848273699124550262e+02
2.462462462462462476e-01,-7.330870665495351282e-03,-2.840723606489372060e+02
2.472472472472472538e-01,-7.385481489164699362e-03,-2.833183533884234748e+02
2.482482482482482600e-01,-7.440254598276711470e-03,-2.825653481309136623e+02
2.492492492492492384e-01,-7.495189561508268025e-03,-2.818133448764079390e+02
2.502502502502502724e-01,-7.550285948110207861e-03,-2.810623436249061911e+02
2.512512512512512508e-01,-7.605543327907302205e-03,-2.803123443764084186e+02
2.522522522522522292e-01,-7.660961271298285906e-03,-2.795633471309147353e+02
2.532532532532532632e-01,-7.716539349255846156e-03,-2.788153518884249706e+02
2.542542542542542416e-01,-7.772277133326601674e-03,-2.780683586489392383e+02
2.552552552552552756e-01,-7.828174195631141738e-03,-2.773223674124574814e+02
2.562562562562562540e-01,-7.884230108863989755e-03,-2.765773781789797567e+02
2.572572572572572325e-01,-7.940444446293624947e-03,-2.758333909485061213e+02
2.582582582582582664e-01,-7.996816781762483214e-03,-2.750904057210363476e+02
2.592592592592592449e-01,-8.053346689686930251e-03,-2.743484224965706630e+02
2.602602602602602788e-01,-8.110033745057304913e-03,-2.736074412751089540e+02
2.612612612612612573e-01,-8.166877523437879316e-03,-2.728674620566512203e+02
2.622622622622622357e-01,-8.223877600966874452e-03,-2.721284848411975759e+02
2.632632632632632697e-01,-8.281033554356482737e-03,-2.713905096287478500e+02
2.642642642642642481e-01,-8.338344960892814239e-03,-2.706535364193022133e+02
2.652652652652652820e-01,-8.395811398435953921e-03,-2.699175652128604952e+02
2.662662662662662605e-01,-8.453432445419921740e-03,-2.691825960094228662e+02
2.672672672672672389e-01,-8.511207680852693469e-03,-2.684486288089891559e+02
2.682682682682682729e-01,-8.569136684316200694e-03,-2.677156636115594779e+02
2.692692692692692513e-01,-8.627219035966304794e-03,-2.669837004171338322e+02
2.702702702702702853e-01,-8.685454316532840308e-03,-2.662527392257122187e+02
2.712712712712712637e-01,-8.743842107319573301e-03,-2.655227800372945808e+02
2.722722722722722422e-01,-8.802381990204227388e-03,-2.647938228518809183e+02
2.732732732732732761e-01,-8.861073547638483733e-03,-2.640658676694712881e+02
2.742742742742742545e-01,-8.919916362647951555e-03,-2.633389144900656333e+02
2.752752752752752885e-01,-8.978910018832211501e-03,-2.626129633136639541e+02
2.762762762762762669e-01,-9.038054100364777479e-03,-2.618880141402663639e+02
2.772772772772773009e-01,-9.097348191993129621e-03,-2.611640669698728061e+02
2.782782782782782793e-01,-9.156791879038676113e-03,-2.604411218024831669e+02
2.792792792792792578e-01,-9.216384747396794835e-03,-2.597191786380975600e+02
2.802802802802802917e-01,-9.276126383536810807e-03,-2.589982374767159286e+02
2.812812812812812702e-01,-9.336016374501978840e-03,-2.582782983183383294e+02
2.822822822822823041e-01,-9.396054307909528641e-03,-2.575593611629647057e+02
2.832832832832832826e-01,-9.456239771950623180e-03,-2.568414260105951712e+02
2.842842842842842610e-01,-9.516572355390379503e-03,-2.561244928612296690e+02
2.852852852852852950e-01,-9.577051647567868739e-03,-2.554085617148680285e+02
2.862862862862862734e-01,-9.637677238396105683e-03,-2.546936325715104772e+02
2.872872872872873073e-01,-9.698448718362060947e-03,-2.539797054311568445e+02
2.882882882882882858e-01,-9.759365678526647075e-03,-2.532667802938073009e+02
2.892892892892892642e-01,-9.820427710524725490e-03,-2.525548571594617613e+02
2.902902902902902982e-01,-9.881634406565123832e-03,-2.518439360281202255e+02
2.912912912912912766e-01,-9.942985359430592598e-03,-2.511340168997826936e+02
2.922922922922923106e-01,-1.000448016247786065e-02,-2.504250997744491087e+02
2.932932932932932890e-01,-1.006611840963757797e-02,-2.497171846521195846e+02
2.942942942942942675e-01,-1.012789969541436422e-02,-2.490102715327940643e+02
2.952952952952953014e-01,-1.018982361488679315e-02,-2.483043604164724911e+02
2.962962962962962798e-01,-1.025188976370736138e-02,-2.475994513031549786e+02
2.972972972972973138e-01,-1.031409773810254213e-02,-2.468955441928414984e+02
2.982982982982982922e-01,-1.037644713487274016e-02,-2.461926390855319937e+02
2.992992992992992707e-01,-1.043893755139232299e-02,-2.454907359812264929e+02
3.003003003003003046e-01,-1.050156858560960006e-02,-2.447898348799249675e+02
3.013013013013012831e-01,-1.056433983604682970e-02,-2.440899357816274744e+02
3.023023023023023170e-01,-1.062725090180022779e-02,-2.433910386863339568e+02
3.033033033033032955e-01,-1.069030138253995038e-02,-2.426931435940444715e+02
3.043043043043043294e-01,-1.075349087851010764e-02,-2.419962505047590184e+02
3.053053053053053079e-01,-1.081681899052876032e-02,-2.413003594184775409e+02
3.063063063063062863e-01,-1.088028531998791286e-02,-2.406054703352000956e+02
