x,w_analytical,M_analytical
8.508508508508508261e-02,-1.998550679887103193e-03,3.892280669057446119e+01
8.608608608608608881e-02,-2.021405473428465691e-03,3.933763593423253013e+01
8.708708708708708113e-02,-2.044237734330652673e-03,3.975146317488659520e+01
8.808808808808808732e-02,-2.067047225552483616e-03,4.016428841253665638e+01
8.908908908908909352e-02,-2.089833710626727310e-03,4.057611164718272079e+01
9.009009009009008584e-02,-2.112596953660099679e-03,4.098693287882476710e+01
9.109109109109109204e-02,-2.135336719333270298e-03,4.139675210746281664e+01
9.209209209209209823e-02,-2.158052772900855877e-03,4.180556933309686229e+01
9.309309309309309055e-02,-2.180744880191422437e-03,4.221338455572689696e+01
9.409409409409409675e-02,-2.203412807607487041e-03,4.262019777535293485e+01
9.509509509509508907e-02,-2.226056322125516060e-03,4.302600899197495465e+01
9.609609609609609526e-02,-2.248675191295923439e-03,4.343081820559297768e+01
9.709709709709710146e-02,-2.271269183243076334e-03,4.383462541620699682e+01
9.809809809809809378e-02,-2.293838066665288174e-03,4.423743062381700497e+01
9.909909909909909997e-02,-2.316381610834823430e-03,4.463923382842302345e+01
1.001001001001000923e-01,-2.338899585597895882e-03,4.504003503002501674e+01
1.011011011011010985e-01,-2.361391761374669052e-03,4.543983422862301325e+01
1.021021021021021047e-01,-2.383857909159256203e-03,4.583863142421701298e+01
1.031031031031030970e-01,-2.406297800519719907e-03,4.623642661680699462e+01
1.041041041041041032e-01,-2.428711207598073345e-03,4.663321980639297948e+01
1.051051051051051094e-01,-2.451097903110276838e-03,4.702901099297496046e+01
1.061061061061061017e-01,-2.473457660346241749e-03,4.742380017655292335e+01
1.071071071071071079e-01,-2.495790253169831354e-03,4.781758735712689656e+01
1.081081081081081141e-01,-2.518095456018853897e-03,4.821037253469685879e+01
1.091091091091091064e-01,-2.540373043905069968e-03,4.860215570926281714e+01
1.101101101101101126e-01,-2.562622792414191632e-03,4.899293688082477161e+01
1.111111111111111049e-01,-2.584844477705874628e-03,4.938271604938270798e+01
1.121121121121121111e-01,-2.607037876513730937e-03,4.977149321493665468e+01
1.131131131131131173e-01,-2.629202766145317949e-03,5.015926837748659750e+01
1.141141141141141097e-01,-2.651338924482143661e-03,5.054604153703252933e+01
1.151151151151151159e-01,-2.673446129979666248e-03,5.093181269357445728e+01
1.161161161161161082e-01,-2.695524161667293191e-03,5.131658184711236714e+01
1.171171171171171144e-01,-2.717572799148380847e-03,5.170034899764629444e+01
1.181181181181181206e-01,-2.739591822600236180e-03,5.208311414517621074e+01
1.191191191191191129e-01,-2.761581012774115464e-03,5.246487728970211606e+01
1.201201201201201191e-01,-2.783540150995224283e-03,5.284563843122401749e+01
1.211211211211211253e-01,-2.805469019162717091e-03,5.322539756974190794e+01
1.221221221221221176e-01,-2.827367399749699823e-03,5.360415470525580162e+01
1.231231231231231238e-01,-2.849235075803227286e-03,5.398190983776569141e+01
1.241241241241241300e-01,-2.871071830944303162e-03,5.435866296727158442e+01
1.251251251251251362e-01,-2.892877449367880442e-03,5.473441409377345934e+01
1.261261261261261146e-01,-2.914651715842862291e-03,5.510916321727131617e+01
1.271271271271271208e-01,-2.936394415712102919e-03,5.548291033776519043e+01
1.281281281281281270e-01,-2.958105334892404108e-03,5.585565545525506082e+01
1.291291291291291332e-01,-2.979784259874517817e-03,5.622739856974091310e+01
1.301301301301301394e-01,-3.001430977723145311e-03,5.659813968122276862e+01
1.311311311311311179e-01,-3.023045276076938032e-03,5.696787878970060603e+01
1.321321321321321240e-01,-3.044626943148497165e-03,5.733661589517444668e+01
1.331331331331331302e-01,-3.066175767724373634e-03,5.770435099764429054e+01
1.341341341341341364e-01,-3.087691539165066373e-03,5.807108409711013053e+01
1.351351351351351426e-01,-3.109174047405024489e-03,5.843681519357195242e+01
1.361361361361361211e-01,-3.130623082952648569e-03,5.880154428702976332e+01
1.371371371371371273e-01,-3.152038436890287204e-03,5.916527137748358456e+01
1.381381381381381335e-01,-3.173419900874237861e-03,5.952799646493340902e+01
1.391391391391391397e-01,-3.194767267134749050e-03,5.988971954937920827e+01
1.401401401401401459e-01,-3.216080328476019021e-03,6.025044063082101786e+01
1.411411411411411521e-01,-3.237358878276193168e-03,6.061015970925881646e+01
1.421421421421421305e-01,-3.258602710487369224e-03,6.096887678469258987e+01
1.431431431431431367e-01,-3.279811619635593801e-03,6.132659185712238781e+01
1.441441441441441429e-01,-3.300985400820862815e-03,6.168330492654817476e+01
1.451451451451451491e-01,-3.322123849717121061e-03,6.203901599296994362e+01
1.461461461461461553e-01,-3.343226762572263939e-03,6.239372505638771571e+01
1.471471471471471337e-01,-3.364293936208136160e-03,6.274743211680148391e+01
1.481481481481481399e-01,-3.385325168020532609e-03,6.310013717421124824e+01
1.491491491491491461e-01,-3.406320255979195747e-03,6.345184022861700157e+01
1.501501501501501523e-01,-3.427278998627820376e-03,6.380254128001876524e+01
1.511511511511511585e-01,-3.448201195084049306e-03,6.415224032841651081e+01
1.521521521521521647e-01,-3.469086645039474656e-03,6.450093737381024539e+01
1.531531531531531432e-01,-3.489935148759638721e-03,6.484863241619997609e+01
1.541541541541541493e-01,-3.510746507084033536e-03,6.519532545558571712e+01
1.551551551551551555e-01,-3.531520521426100880e-03,6.554101649196744006e+01
1.561561561561561617e-01,-3.552256993773231404e-03,6.588570552534515912e+01
1.571571571571571679e-01,-3.572955726686765938e-03,6.622939255571888850e+01
1.581581581581581464e-01,-3.593616523301993750e-03,6.657207758308859979e+01
1.591591591591591526e-01,-3.614239187328155585e-03,6.691376060745429299e+01
1.601601601601601588e-01,-3.634823523048440197e-03,6.725444162881601073e+01
1.611611611611611650e-01,-3.655369335319987815e-03,6.759412064717371038e+01
1.621621621621621712e-01,-3.675876429573885374e-03,6.793279766252739194e+01
1.631631631631631496e-01,-3.696344611815171287e-03,6.827047267487706961e+01
1.641641641641641558e-01,-3.716773688622835008e-03,6.860714568422275761e+01
1.651651651651651620e-01,-3.737163467149810965e-03,6.894281669056444173e+01
1.661661661661661682e-01,-3.757513755122988963e-03,6.927748569390210776e+01
1.671671671671671744e-01,-3.777824360843204214e-03,6.961115269423578411e+01
1.681681681681681528e-01,-3.798095093185241671e-03,6.994381769156544237e+01
